1,448,298.16
2,443,-1000
3,399,52.483
4,541,-1000
5,668,7200
6,831,7200
7,524,472.21
8,657,583.66
9,544,1241.7
10,772,7200
11,922,7200
12,711,7200
13,320,54.94
14,594,837.32
15,902,7200
16,627,7200
17,731,-1000
18,1024,7200
19,558,7200
20,707,7200
21,1080,7200
22,638,7200
23,486,423.95
24,425,-1000
25,373,-1000
26,408,147.43
27,383,-1000
28,411,58.798
29,503,-1000
30,457,-1000
31,458,74.658
32,361,-1000
33,455,-1000
34,683,-1000
35,396,82
36,389,-1000
37,381,72.605
38,323,-1000
39,385,-1000
40,422,241.19
41,388,155.25
42,384,79.193
43,367,-1000
44,235,-1000
45,454,1614.8
46,455,-1000
47,341,-1000
48,406,256.41
49,429,30.806
50,340,75.685
51,444,289.96
52,329,-1000
53,322,27.502
54,338,58.444
55,347,-1000
56,365,-1000
57,336,93.349
58,903,5646.4
59,1190,7200
60,525,7200
61,257,-1000
62,699,776.31
63,494,203.56
64,75,1.9575
65,87,2.0514
66,457,-1000
67,544,1208.3
68,619,-1000
69,767,-1000
70,601,-1000
71,770,7200
72,954,7200
73,217,-1000
74,300,73.21
75,266,34.575
76,249,8.6129
77,202,15.841
78,228,35.833
79,321,65.162
80,236,21.568
81,194,5.3671
82,218,19.821
83,116,1.6867
84,168,4.1335
85,210,11.608
86,1004,7200
87,385,-1000
88,790,7200
89,677,-1000
90,621,835.23
91,1037,-1000
92,557,-1000
93,291,18.003
94,534,7200
95,630,7200
96,253,7200
97,648,7200
98,576,7200
99,729,317.19
100,674,7200
101,707,-1000
